Año,C (%),Java (%),Python (%),C++ (%),C# (%),JavaScript (%),PHP (%),SQL (%)
2010,18.3,26.4,4.5,9.7,6.2,1.7,6.0,3.2
2011,17.5,25.6,5.8,9.2,7.1,2.3,7.0,3.5
2012,16.4,24.3,7.0,8.5,8.0,3.0,7.5,3.8
2013,15.2,23.1,8.5,8.1,8.5,3.8,8.0,4.0
2014,14.1,21.7,9.5,7.8,9.0,4.2,8.2,4.3
2015,13.3,20.5,10.8,7.5,9.5,5.0,8.5,4.5
2016,12.8,19.4,12.0,7.3,10.0,5.5,8.8,4.8
2017,12.1,18.3,13.4,7.2,10.2,6.0,9.0,5.0
2018,11.5,17.2,15.0,7.0,10.5,6.7,9.5,5.3
2019,11.0,16.5,16.8,6.9,10.8,7.5,9.8,5.6
2020,10.7,15.8,18.4,6.8,11.0,8.2,10.0,5.8
2021,10.5,15.0,20.1,6.6,11.3,9.0,10.3,6.0
2022,10.3,14.6,21.5,6.5,11.5,9.7,10.5,6.2
2023,10.2,14.2,22.8,6.4,11.8,10.0,10.8,6.5
